,"Comes with a special 18"" by 24"" poster for your dorm room.",,,,,,,,,,Prompt,Everyone is staring at you because you're ___.,,,,v1.0,,,,,,,,,,,,
,,,,,,,,,,,Prompt,"Hold up. I gotta deal with ___, then l'mma smoke this.",,,,v1.0,,,,,,,,,,,,
Prompt,All classes today are cancelled due to ______.,,,v1.0,v1.1,v1.2,,,,,Mechanic ,"Instead of playing a card this round, everyone must stare the Card Czar while making a sound you'd make after tasting something delicious.",,MECHANIC,,v1.0,,,,,,,,,,,,
Prompt,Did you know? Our college was recently named the #1 school for ______!,,,v1.0,v1.1,v1.2,,,,,Prompt,"Okay here's the pitch. James Franco and Seth Rogen are trying to score some weed, and then ___ happens.",,,,v1.0,,,,,,,,,,,,
Prompt,"In this paper, I will explore ______ from a feminist perspective.",,,v1.0,v1.1,v1.2,,,,,Prompt ,"You know what's, like, really funny when you think about it? ___.",,,,v1.0,,,,,,,,,,,,
Prompt,My memory of last night is pretty hazy. I remember ______ and that's pretty much it.,,,v1.0,v1.1,v1.2,,,,,,,,,,,,,,,,,,,,,,
Prompt,"Pledges! Time to prove you're Delta Phi material. Chug this beer, take off your shirts, and get ready for ______.",,,v1.0,v1.1,v1.2,,,,,Response,A bong rip so massive it restores justice to the kingdom.,,,,v1.0,,,,,,,,,,,,
Prompt,The Department of Psychology is looking for paid research volunteers. Are you 18-25 and suffering from ______.,,,v1.0,v1.1,v1.2,,,,,Response,A sandwich with Cheetos in it!,,,,v1.0,,,,,,,,,,,,
,,,,,,,,,,,Response,A whole cheese pizza just for me.,,,,v1.0,,,,,,,,,,,,
Response,A 30-rack of Natty Light.,,,,,v1.2,,,,,Response,An eight-foot man smoking a six-foot bong.,,,,v1.0,,,,,,,,,,,,
Response,A bachelor's degeree in communications.,,,v1.0,v1.1,v1.2,,,,,Response,Ancient aliens.,,,HOOK ,v1.0,,,,,,,,,,,,
Response,A girl who is so interesting that she has blue hair.,,,v1.0,v1.1,v1.2,,,,,Response,Being too high for airplane.,,,,v1.0,,,,,,,,,,,,
Response,A Yale man.,,,v1.0,v1.1,v1.2,,,,,Response,Cheese crunchies.,,,,v1.0,,,,,,,,,,,,
Response,An emergency all-floor meeting on inclusion.,,,v1.0,v1.1,v1.2,,,,,Response,Dank ass cancer weed.,,,,v1.0,,,,,,,,,,,,
Response,Boycotting Israel. ,,,,,v1.2,,,,,Response,Dicking around on the guitar for an hour.,,,,v1.0,,,,,,,,,,,,
Response,Calling mom because it's just really hard and I miss her and I don't know anyone here.,,,v1.0,v1.1,v1.2,,,,,Response,Dropping stuff and knocking everything over.,,,,v1.0,,,,,,,,,,,,
Response,Falling in love with poetry.,,,v1.0,v1.1,v1.2,,,,,Response,Eating all the skin off a rotisserie chicken.,,,,v1.0,,,,,,,,,,,,
Response,Five morons signing a lease together.,,,v1.0,v1.1,v1.2,,,,,Response,Forgetting to breathe and then dying.,,,,v1.0,,,,,,,,,,,,
Response,Fucking the beat boxer from the a cappella group.,,,v1.0,v1.1,v1.2,,,,,Response,Getting high and watching Planet Earth.,,,,v1.0,,,,,,,,,,,,
Response,"Going to college and becoming a new person, who has sex.",,,v1.0,v1.1,v1.2,,,,,Response,Grinning like an idiot.,,,,v1.0,,,,,,,,,,,,
Response,Googling how to eat pussy.,,,v1.0,v1.1,v1.2,,,,,Response,Hot tub.,,,,v1.0,,,,,,,,,,,,
Response,Horny Christian Teens.,,,,v1.1,v1.2,,,,,Response,How bright the sun is.,,,,v1.0,,,,,,,,,,,,
Response,How many Asians there are.,,,v1.0,,,,,,,Response,Huge popcorn nugs of hairy alien weed.,,,,v1.0,,,,,,,,,,,,
Response,My high school boyfriend.,,,v1.0,v1.1,v1.2,,,,,Response,My own fingers.,,,,v1.0,,,,,,,,,,,,
Response,Performative wokeness.,,,v1.0,v1.1,v1.2,,,,,Response,Smoking a blunt butt-ass naked.,,,,v1.0,,,,,,,,,,,,
Response,Pretending to have done the reading.,,,v1.0,v1.1,v1.2,,,,,Response,Smoking a joint with former President Barack Obama.,,,,v1.0,,,,,,,,,,,,
Response,Rocking a 1.5 GPA.,,,v1.0,v1.1,v1.2,,,,,Response,Snoop Dogg.,,,,v1.0,,,,,,,,,,,,
Response,Sucking a flaccid penis for 20 minutes.,,,v1.0,v1.1,v1.2,,,,,Response,"The banks, the media, the entire system, man.",,,,v1.0,,,,,,,,,,,,
Response,The sound of my roommate masturbating.,,,v1.0,v1.1,v1.2,,,,,Response,Too much edibles.,,,,v1.0,,,,,,,,,,,,
Response,Throw up.,,,v1.0,v1.1,v1.2,,,,,Response,Unbelievably soft carpet.,,,,v1.0,,,,,,,,,,,,
Response,"Uggs, leggings, and a North Face.",,,v1.0,v1.1,,,,,,Response,Whatever the fuck I was just talking about.,,,,v1.0,,,,,,,,,,,,
Response,Underage drinking.,,,v1.0,v1.1,v1.2,,,,,,,,,,,,,,,,,,,,,,
Response,Valuable leadership experience.,,,v1.0,v1.1,,,,,,,TOTALS:,TOTALS:,,,30,0,0,0,0,,,,,,,,
Response,Wandering the streets in search of a party.,,,v1.0,v1.1,v1.2,,,,,,,,,,,,,,,,,,,,,,
Response,Whichever one of you took a shit in the shower.,,,v1.0,v1.1,v1.2,,,,,,,,,,,,,,,,,,,,,,
Response,Young Republicans.,,,v1.0,v1.1,v1.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTALS:,,,30,30,30,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Set,Cards Against Humanity Saves America,Special,Special,Holiday,v1.0,,,,,,,,,,,,
Set,Ass Pack,Special,Duplicates,v1.0,v1.1,,,,,,,"30 cards
Released: November 14, 2017.
Icon: A star
Updated Icon: a bell with a crack in it
NOTE: Originally the 2017 Holiday PromotionThe Cards Against Humanity Saves America Pack sold in the CAH Store comes with 7 Prompt cards and 23 Response cards, and does not include the Day Three Promotion cards.The Day 3 mailer included the prompt card and one of the response cards. Which response card was received depended on how the questions from the survey were answered when ordering the promotion.

",,,,,,,,,,,,,,,,
,"30 cards
Released: November 5, 2019  
Icon: a cartoon drawing of a white ass
Updated Icon: a cartoon drawing of a black ass",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Prompt,"""They’re bringing drugs. They’re bringing crime. They’re rapists. And some, I assume, are _____.""",,,holiday,v1.0,,,,,,,,,,,,
,,,,,,,,,,,Prompt,Cry havoc and let slip ______!,,,holiday,v1.0,,,,,,,,,,,,
Prompt,I like ______ and I cannot lie!,,,v1.0,v1.1,,,,,,Prompt,"Now is the winter of our discontent, made glorious summer by ______.",,,holiday,v1.0,,,,,,,,,,,,
Prompt,"My anaconda don't want none unless you got ________, hun.",,,v1.0,v1.1,,,,,,Prompt,Oh shit! I just got ______.,,,holiday,,,,,,,,,,,,,
Prompt,"My homeboys tried to warn me, but _______ makes me so horny.",,,v1.0,v1.1,,,,,,Prompt,"The fault, dear Brutus, is not in our stars, but in ______.",,,holiday,v1.0,,,,,,,,,,,,
,,,,,,,,,,,Prompt,"We want a pitcher, not ______!",,,holiday,v1.0,,,,,,,,,,,,
Response,An ass like two football helmets.,,,v1.0,v1.1,,,,,,Prompt,"When asked about the biggest threat facing the nation, 60% of Americans said ______.",,,holiday,v1.0,,,,,,,,,,,,
Response,An ass like two old Italian faces telling secrets.,,,v1.0,v1.1,,,,,,Prompt,"You see, son, baseball is like ______. Don't overthink it.",,,holiday,v1.0,,,,,,,,,,,,
Response,Bad bitches with fat asses.,,,v1.0,v1.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Response,"A $1,000 check from Cards Against Humanity!",,,holiday,,,,,,,,,,,,,
Response,Being grossly unprepared for this jelly.,,,v1.0,v1.1,,,,,,Response,A baby panda that just can't keep its eyes open.,,,holiday,v1.0,,,,,,,,,,,,
Response,Blowing a fart hole in my yoga pants.,,,v1.0,v1.1,,,,,,Response,"A full refund from Cards Against Humanity, paid for by people richer than me.",,,holiday,,,,,,,,,,,,,
Response,Carrying my poop around in a ziplock bag.,,,v1.0,v1.1,,,,,,Response,A gay Republican somehow.,,,holiday,v1.0,,,,,,,,,,,,
Response,Cellulite.,,,v1.0,v1.1,,,,,,Response,A laundry basket full of baby bunnies.,,,holiday,v1.0,,,,,,,,,,,,
Response,Cheesy French anus.,,,v1.0,v1.1,,,,,,Response,A really good dog.,,,holiday,v1.0,,,,,,,,,,,,
Response,Doing my duty to your booty.,,,v1.0,v1.1,,,,,,Response,A stack of puppies in a trench coat.,,,holiday,v1.0,,,,,,,,,,,,
Response,How good the booty taste.,,,v1.0,v1.1,,,,,,Response,Getting deported.,,,holiday,v1.0,,,,,,,,,,,,
Response,Me arse.,,,v1.0,v1.1,,,,,,Response,Guacamole.,,,holiday,v1.0,,,,,,,,,,,,
Response,My faithful donkey Bathsheba.,,,v1.0,v1.1,,,,,,Response,How easy it is to climb over a wall with a ladder.,,,holiday,v1.0,,,,,,,,,,,,
Response,Pooping and then looking at the poop.,,,v1.0,v1.1,,,,,,Response,Lou Gehrig's Disease.,,,holiday,v1.0,,,,,,,,,,,,
Response,Pulling a shit-covered condom of Fentanyl out of a dead Slovenian's asshole.,,,v1.0,,,,,,,Response,Mexicans and Muslims.,,,holiday,v1.0,,,,,,,,,,,,
Response,Rubbing sage all over my butt cancer.,,,v1.0,v1.1,,,,,,Response,My drunk father screaming from the bleachers.,,,holiday,v1.0,,,,,,,,,,,,
Response,Ruining my asshole with superglue.,,,v1.0,v1.1,,,,,,Response,My money stolen by Cards Against Humanity and redistributed to people poorer than me.,,,holiday,,,,,,,,,,,,,
Response,Shitting out a hot stack of pancakes and a pat of butter.,,,v1.0,v1.1,,,,,,Response,Our dumb asshole president.,,,holiday,v1.0,,,,,,,,,,,,
Response,Showing everyone my lil' dumper.,,,v1.0,v1.1,,,,,,Response,Slowly shaking my head at a sad statistic.,,,holiday,v1.0,,,,,,,,,,,,
Response,Sir Mix-a-lot.,,,v1.0,v1.1,,,,,,Response,Speaking in iambic pentameter.,,,holiday,v1.0,,,,,,,,,,,,
Response,"Sir Thomas Crapper, inventor of the toilet.",,,v1.0,v1.1,,,,,,Response,Taking a minute to really unpack what Shakespeare is getting at in this scene.,,,holiday,v1.0,,,,,,,,,,,,
Response,Tender anal love.,,,v1.0,v1.1,,,,,,Response,Teaching my son to love the Red Sox and hate minorities.,,,holiday,v1.0,,,,,,,,,,,,
Response,That post-smack jiggle.,,,v1.0,v1.1,,,,,,Response,The shocking stupidity of the American public.,,,holiday,v1.0,,,,,,,,,,,,
Response,The sun-ripen asses of Sicily.,,,v1.0,v1.1,,,,,,Response,The significance of eyes in King Lear.,,,holiday,v1.0,,,,,,,,,,,,
Response,Thick Ukrainian ass.,,,v1.0,v1.1,,,,,,Response,The truth.,,,holiday,v1.0,,,,,,,,,,,,
Response,"Tight, red baboon ass.",,,v1.0,v1.1,,,,,,Response,Two baby otters holding hands.,,,holiday,v1.0,,,,,,,,,,,,
Response,Tracing the furrows of your cellulitic ass like a loving cartographer.,,,,v1.1,,,,,,Response,Two hamsters nibbling on a tiny burrito.,,,holiday,v1.0,,,,,,,,,,,,
Response,Waxing my asshole.,,,v1.0,v1.1,,,,,,Response,White people becoming a minority.,,,holiday,v1.0,,,,,,,,,,,,
Response,Your ass cheeks on my face cheeks.,,,v1.0,v1.1,,,,,,Response,"Yelling ""I got it, I got it!""",,,holiday,v1.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTALS:,,,30,30,0,0,0,0,,,TOTALS:,TOTALS:,,34,30,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Set,Sci-Fi Pack,Special,Special,Duplicates,v1.0,v1.1,v1.2,,,,,,,,,,
Set,A.I. Pack,Special,Duplicates,v1.0,,,,,,,,"30 cards
Released: December 5, 2016. 
Icon: A rocket ship.
Updated Icon: v1.1. a different rocket ship",,,,,,,,,,,,,,,,
,"30 cards actually written by a machine learning algorithm trained on our brainstorming documents.

Released: December 9, 2019
Icon: circles with lines connecting them
Updated icon: robot",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Prompt,Computer! Display ______ on screen. Enhance.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,"A killer’s diet of bush, cucumbers, and feathers.",,,v1.0,,,,,,,Prompt,Fear leads to anger. Anger leads to hate. Hate leads to ______.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,A woman who is so smart that she can predict the movements of 300 birds.,,,v1.0,,,,,,,Prompt,"Madam President, the asteroid is headed directly for Earth and there's only one thing that can stop it: ______.",,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,Finding a nipple and being like “Oooh! That’s a nipple!”,,,v1.0,,,,,,,Prompt,This won't be like negotiating with the Vogons. Humans only respond to one thing: ______.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,Getting Masturbated to.,,,v1.0,,,,,,,Prompt,"What is the answer to life, the universe, and everything?",,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,Giving grandma crappy things she doesn’t like.,,,v1.0,,,,,,,Prompt,You have violated the Prime Directive! You exposed an alien culture to ______ before they were ready.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,Ham finger.,,,v1.0,,,,,,,Prompt,"You're not going to believe this, but I'm you from the future! You've got to stop ______.",,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,Hands down the best eggnog I have ever had.,,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Response,Insane empanadas.,,,v1.0,,,,,,,Response,[A picture of Sean Connery in the movie Zardoz],,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,"Kim Kardashian, but with spider legs.",,,v1.0,,,,,,,Response,A hazmat suit full of farts.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,Laughing hysterically while my partner pours coffee into my eyes.,,,v1.0,,,,,,,Response,A misty room full of glistening egg sacs.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,More olives than you could possibly understand.,,,v1.0,,,,,,,Response,A planet-devouring space worm named Rachel.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,Mr. Poop.,,,v1.0,,,,,,,Response,A protagonist with no qualities.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,My disgusting pot-bellied boy.,,,v1.0,,,,,,,Response,A supercomputer that predicts the future with 100% accuracy.,,,,,,v1.2,,,,,,,,,,
Response,P.F. Chang’s fusion of casual and formal cuisine.,,,v1.0,,,,,,,Response,An alternate history where Hitler was gay but he still killed all those people.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Screaming “there’s a hawk up my ass!”,,,v1.0,,,,,,,Response,Astronaut pussy.,,,,,,v1.2,,,,,,,,,,
Response,Secret CIA moon prisons.,,,v1.0,,,,,,,Response,Beep beep boop beep boop.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,"Sitting in the back of the plane, smoking a cigar and reading the Flickr privacy policy.",,,v1.0,,,,,,,Response,Cheerful blowjob robots.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,Some kind of mutated shrimp that can suck dick like a pro.,,,v1.0,,,,,,,Response,Cosmic bowling.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,Some sort of unstoppable poo gun.,,,v1.0,,,,,,,Response,Cumming into a black hole.,,,,,,v1.2,,,,,,,,,,
Response,Stairs.,,,v1.0,,,,,,,Response,Darmok and Jalad at Tanagra.,,,,v1.0,v1.1,,,,,,,,,,,
Response,That shitty season of Mad Men where Sterling Cooper Draper Pryce gets destroyed by Daenerys Targaryen’s dragons.,,,v1.0,,,,,,,Response,Frantically writing equations on a chalkboard.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,The amount of emotions a peanut would be capable of holding.,,,v1.0,,,,,,,Response,Funkified aliens from the planet Groovius.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,The idea of a walrus.,,,v1.0,,,,,,,Response,Going too far with science and bad things happening.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,The lesbians of Iowa.,,,v1.0,,,,,,,Response,How great of a movie Men In Black was.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,The real story behind the yogurt that came out of Tina’s vagina.,,,v1.0,,,,,,,Response,Laying thousands of eggs in a man's colon.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,The unspeakable secrets of the weasels.,,,v1.0,,,,,,,Response,Masturbating Yoda's leathery turtle-penis.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,These amazing testicles I’m about to share with you.,,,v1.0,,,,,,,Response,Nine seasons of sexual tension with David Duchovny.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,These awesome gadgets that track my every move.,,,v1.0,,,,,,,Response,That girl from the Hunger Games.,,,,v1.0,v1.1,,,,,,,,,,,
Response,These new jeans that look so cool but are actually so bad.,,,v1.0,,,,,,,Response,The dystopia we're living in right now.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
Response,What I Doin’.,,,v1.0,,,,,,,Response,The ending of Lost.,,,,v1.0,v1.1,,,,,,,,,,,
,,,,,,,,,,,Response,Three boobs.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
,TOTALS:,,,30,0,0,0,0,0,,Response,Transferring my consciousness into a guinea pig.,,,,,,v1.2,,,,,,,,,,
,,,,,,,,,,,Response,Trimming the poop out of Chewbacca's butt hair.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
,,,,,,,,,,,Response,Vulcan sex-madness.,,,,v1.0,v1.1,v1.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TOTALS:,TOTALS:,,,30,30,30,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Set,2000s Nostalgia Pack,Special,Special,Duplicates,v1.0,v1.1,,,,,,,,,,,
Set,Science Pack,Special,Duplicates,v1.0,,,,,,,,"30 cards
Released November 5, 2019 
Icon: 00s
Updated Icon:  v1.1 a CD",,,,,,,,,,,,,,,,
,"30 cards 
Released: March 30, 2015. 
Icon: A white Erlenmeyer flask.
Updated Icon:A black Erlenmeyer flask",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Prompt,"______? That's a no from me, dawg.",,,,v1.0,v1.1,,,,,,,,,,,
Prompt,A study published in Nature this week found that ______ is good for you in small doses.,,,v1.0,,,,,,,Prompt,16 people. 39 days of ______. One Survivor.,,,,v1.0,v1.1,,,,,,,,,,,
Prompt,"Hey there, Young Scientists! Put on your labcoats and strap on your safety goggles, because today we're learning about ______!",,,v1.0,,,,,,,Prompt,"I couldn't help but wonder. Was ""having it all"" an unattainable myth? Was the secret to a truly happy life just ______?",,,,v1.0,v1.1,,,,,,,,,,,
Prompt,"In an attempt to recreate conditions just after the Big Bang, physicists at the LHC are observing collisions between ______ and ______.",PICK 2,,v1.0,,,,,,,Prompt,Oh my god! ______ killed Kenny!,,,,v1.0,v1.1,,,,,,,,,,,
Prompt,"In line with our predictions, we find a robust correlation between ______ and ______ .",PICK 2,,v1.0,,,,,,,Prompt,Oops! I did it again. I played with ______.,,,,v1.0,v1.1,,,,,,,,,,,
Prompt,"In what's being hailed as a major breakthrough, scientists have synthesized ______ in the lab.",,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Prompt,"Today on Mythbusters, we found out how long ______ can withstand ______.",PICK 2,,v1.0,,,,,,,Response,All these boys in my yard asking for milkshakes.,,,,v1.0,v1.1,,,,,,,,,,,
Prompt,What really killed the dinosaurs?,,,v1.0,,,,,,,Response,Being a total Miranda.,,,,v1.0,v1.1,,,,,,,,,,,
,,,,,,,,,,,Response,Blowing Lucas on an inflatable chair.,,,,v1.0,v1.1,,,,,,,,,,,
Response,3.7 billion years of evolution.,,,v1.0,,,,,,,Response,Chunky highlights.,,,,v1.0,v1.1,,,,,,,,,,,
Response,A 0.7 waist-to-hip ratio.,,,v1.0,,,,,,,Response,Collateralized debt obligations.,,,,v1.0,,,,,,,,,,,,
Response,A supermassive black hole.,,,v1.0,,,,,,,Response,Competing against 20 other women for the love of Flava Flav.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Achieving reproductive success.,,,v1.0,,,,,,,Response,Cybering with diselman89.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Being knowledgeable in a narrow domain that nobody understands or cares about.,,,v1.0,,,,,,,Response,Defining marriage at the union of one man and one woman.,,,,v1.0,v1.1,,,,,,,,,,,
Response,David Attenborough watching us mate.,,,v1.0,,,,,,,Response,Doing 9/11.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Developing secondary sex characteristics.,,,v1.0,,,,,,,Response,Downloading a bunch of weird porn on Kazaa.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Driving into a tornado to learn about tornadoes.,,,v1.0,,,,,,,Response,Getting crunk.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Electroejaculating a capuchin monkey.,,,v1.0,,,,,,,Response,Getting drenched in Dave Matthew's shit and piss.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Evolving a labyrinthine vagina.,,,v1.0,,,,,,,Response,Getting pwned.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Explosive decompression.,,,v1.0,,,,,,,Response,Going to prom with a 108-year-old vampire.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Failing the Turing test.,,,v1.0,,,,,,,Response,Hoobastank.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Fun and interesting facts about rocks.,,,v1.0,,,,,,,Response,Killing Dumbledore.,,,,,v1.1,,,,,,,,,,,
Response,Getting really worried about global warming for a few seconds.,,,v1.0,,,,,,,Response,Letting the terrorists win.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Infinity.,,,v1.0,,,,,,,Response,My son and business partnew H.W. Plainview.,,,,v1.0,,,,,,,,,,,,
Response,Insufficient serotonin.,,,v1.0,,,,,,,Response,Starting to be cool about gay people.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Oxytocin release via manual stimulation of the nipples.,,,v1.0,,,,,,,Response,Suspicious white powder.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Photosynthesis.,,,v1.0,,,,,,,Response,Taking a blurry photo of my penis on my Motorola Razr.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Reconciling quantum theory with general relativity.,,,v1.0,,,,,,,Response,The conservative blogosphere.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Slowly evaporating.,,,v1.0,,,,,,,Response,The new Sweet Onion Chicken Teriyaki sandwich from Subway!,,,,v1.0,v1.1,,,,,,,,,,,
Response,The quiet majesty of the sea turtle.,,,v1.0,,,,,,,Response,Trapping my Sim in a swimming pool until she shits herself.,,,,,v1.1,,,,,,,,,,,
Response,The Sun engulfing the Earth.,,,v1.0,,,,,,,Response,Two girls sharing one cup of poop.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Uranus.,,,v1.0,,,,,,,Response,Vajazzling my vajayjay.,,,,v1.0,v1.1,,,,,,,,,,,
,,,,,,,,,,,Response,Weapons of mass destruction.,,,,v1.0,v1.1,,,,,,,,,,,
,TOTALS:,,,30,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TOTALS:,TOTALS:,,,30,30,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Set,Human Pack,Special,Special,Duplicates,v1.0,,,,,,,,,,,,
Set,Dad Pack/DVD Cover(s),Special,Duplicates,v1.0,v1.1,,,,,,,"30 cards
Released: December 9, 2019  
Icon: Vitruvian Man drawing
Updated icon: a brain",,,,,,,,,,,,,,,,
,"30 cards
Released: June 5, 2018 
Icon: A sperm.
Updated Icon: shirt and tie
Note:The Dad Pack comes in a DVD case with 9 cover variations (The Evidence, Sniper Dad, The Swedish Compromise, Time Games, Red Fear Massive Heat, Bloodoath: Remembrance, Stone Jones, Ocean Mission: Dark Tide, and Break Point Dawn Infinity)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://imgur.com/a/qBazJA4,,,,,,,,,,Prompt,"Do not go gentle into that good night. Rage, rage against ______?",,,,v1.0,,,,,,,,,,,,
,https://imgur.com/a/x2o69Gs,,,,,,,,,,Prompt,"Sure, sex is great, but have you tried _______?",,,,v1.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prompt,"Coming up on Turner Classic Movies:
Sean Connery and Alec Baldwin star in ""The Hunt for ______.""",,,v1.0,v1.1,,,,,,Response,A pointless job at a soulless corporation.,,,,v1.0,,,,,,,,,,,,
Prompt,"FW: re:
FBI WARNING!!! VIOLENT GANGS USING ______ TO RECRUIT CHILDREN!",,,v1.0,,,,,,,Response,Being terrified of a single bee.,,,,v1.0,,,,,,,,,,,,
Prompt,"Hey, kids.
I'm Connor's dad, but you can call me Mr. ______.",,,v1.0,v1.1,,,,,,Response,Being young and in love in New York City.,,,,v1.0,,,,,,,,,,,,
Prompt,"So apparently Dad was searching Pornhub for ""hot milf ______.""",,,v1.0,v1.1,,,,,,Response,Chemotherapy.,,,,v1.0,,,,,,,,,,,,
Prompt,"Whaddya think, money grows on trees? I'm not paying for ______!",,,v1.0,v1.1,,,,,,Response,Delighting in the pain of others.,,,,v1.0,,,,,,,,,,,,
Prompt,"Young lady, you better knock it off with ______ or you're grounded!",,,v1.0,v1.1,,,,,,Response,Forming a monogamous pairbond.,,,,v1.0,,,,,,,,,,,,
,,,,,,,,,,,Response,Getting my butt trapped hilariously in a tuba.,,,,v1.0,,,,,,,,,,,,
Response,A positive male role model.,,,v1.0,v1.1,,,,,,Response,Getting sad for no reason.,,,,v1.0,,,,,,,,,,,,
Response,Coaching the 7th grade girls basketball team.,,,v1.0,v1.1,,,,,,Response,Good ol’ fashioned face-to-face conversation.,,,,v1.0,,,,,,,,,,,,
Response,Dad coming home drunk.,,,v1.0,v1.1,,,,,,Response,Harnessing the power of steam!!!,,,,v1.0,,,,,,,,,,,,
Response,Dad's big sex night.,,,v1.0,v1.1,,,,,,Response,How good this cantaloupe feels on my penis.,,,,v1.0,,,,,,,,,,,,
Response,Dad's famous chili.,,,v1.0,v1.1,,,,,,Response,"Just hangin’ out, ya know?",,,,v1.0,,,,,,,,,,,,
Response,Divorce.,,,v1.0,v1.1,,,,,,Response,Like 50 mosquito bites.,,,,v1.0,,,,,,,,,,,,
Response,Dolby® Digital Surround Sound.,,,v1.0,,,,,,,Response,Losing a loved one to Fox News.,,,,v1.0,,,,,,,,,,,,
Response,Emotional unavailability.,,,v1.0,v1.1,,,,,,Response,Really tall people.,,,,v1.0,,,,,,,,,,,,
Response,Finding a place to sit down.,,,v1.0,v1.1,,,,,,Response,Saying “what’s that?” And then stealing a french fry.,,,,v1.0,,,,,,,,,,,,
Response,Flirting with the ladies at the bank.,,,v1.0,v1.1,,,,,,Response,Sucking all the oil out of the planet and fucking off to Mars.,,,,v1.0,,,,,,,,,,,,
Response,Forty-two years of repressed homosexuality.,,,v1.0,v1.1,,,,,,Response,The bomb strapped to my chest.,,,,v1.0,,,,,,,,,,,,
Response,Going bald.,,,v1.0,v1.1,,,,,,Response,The joy of song.,,,,v1.0,,,,,,,,,,,,
Response,Having a bunch of kids by accident.,,,v1.0,,,,,,,Response,The salmon.,,,,v1.0,,,,,,,,,,,,
Response,Having a heart attack.,,,v1.0,v1.1,,,,,,Response,The unspeakable horrors of factory farming.,,,,v1.0,,,,,,,,,,,,
